Review	Liked
Good place for family,Nice environment, Good service,And delicious food,Love the whole experience	1
The food was quite good and moderately priced.	1
Aesthetic environment, tasty food.	1
They serve authentic Italian pizza, Their pizza is very delicious and tasty	1
The price is little bit high 	0
not enough space for parking. You have to park in the road	 0
The staff behaviour is out of the marks. Truly a 5 star customer service	1
Fantastic buffet, very well-cooked food, great taste	1
The service was horrible, the meal was served cold,Though the taste was quite good, it doesn't do justice to the extremely high price along with 15% vat & 10% service charge,Very much disappointed	0
It's a super pathetic place to visit,Pure waste of time	0
Price is bit high and the ambiance isn't that great	 0
There food quality is horrible,They are taking too much money and provide small amount of food	 0
Nice interior and hospitality	1
very good seafood options are available here. everything is cooked on demand, so foods are super tasty	1
The quantity of items is not that high but the taste and quality of the food is quite good	1
I tried Ala Carte menu at lunch and food was awesome, specifically dumplings	1
You can actually have a casual business discussion or a nice date here without having to worry about teenagers crowding nearby,Staff are polite	1
enough parking during dinnertime	1
Amazing pizza with very thin base!!!	1
Their Beef steaks have undergone tremendous upgrade	1
food quality is ok but amount of platters for buffet dinner is disappointing.. seems they filled up buffet dinner with a lots of salad.. variations in main dish is very less	0
Food was great but the interior seemed a bit old-fashioned	0
Best buffet restaurant that I ever tasted	1
Each dishes have uniqueness. Most of foods taste & presentation excellent	1
Fast time I had kalbisal here, and it  was just awesome	1
They were very sloppy in taking orders and serving food	0
Nice place to have a great chicken item with their different amazing sauces	1
Especially their ‘mango and lime’ flavour has to be the best flavor	1
I found a little bit sour in the chicken and the spicy rice has no spicy taste	0
the waiter should be more patience with the customer	0
I tried their Butterfly steak one and it was really yummy as usual	1
slow service and very poor time management while having buffet	0
they don't accept cards	0
I had an excellent journey with food out there. Its literally awesome	1
the food was good but the ambiance needs to be badly upgraded	0
Only place with real fine dining experience	1
The food is authentic with careful trained staff to attend your needs	1
the taste was good with right mix of spice	1
The combination of right ingredients went good with the doi and made the doi-fuchka finger licking good	1
good ambiance, specially aqua dine on top of the swimming pool	1
A perfect place for authentic pan Asian cuisine that thankfully doesn't change to suit the local flavor of the country	1
Hope to go back there soon	1
There is only one thing worse than being served a terrible meal: being served a terrible meal by earnest waiters who have no idea just how awful the things they are doing to you are	0
there is a small main entry beside shopping mall	0
I don't recommend it for family	0
English is spoken by the entire staff. Clean, convenient and safe	1
They have plenty of items in their menu but none of them wasn't so tasty to consider going again	0
their lighting system is not sufficient causing a dark shed all around.	0
Top place for corporate events	1
It is Too Much Expensive	0
seems less confident about Buffet service	0
Food quality not so good. You'll have to wait for a long time for the food	0
The food was stale, hard, and it was no longer edible	0
Nice place for party	1
Good restaurant for buffet with a minimum cost	1
Tables are not that clean	0
A simple family style restaurant or party venue if you have a small number of guests and moderate budget in mind	1
I am not satisfied - food quality, wash room,cooling system	0
Cooking is really worst	0
Attitude of waiters and music is very friendly and genuine	1
they burned my food and made my day hell	0
the taste was not up to the mark	0
Great ambience & burger quality	1
it's a bit noisy, little bit congested & the price is somewhat high	0
the place is situated on a popular place where people can see the restaurant	1
have a smoking zone to chill out	1
People working here are well mannered and helpful	1
Owner seems to be too much confident about their worst food	0
You can enjoy your meal peacefully & in less prize	1
there pasta is sticky and not that much baked enough. Overall not satisfied	0
They dont have much drinks option	0
Foods menu is different and tasted salty	0
Environment is neat and clean spacious and not so crowed	1
options are not always best suited for individual diners	0
Varieties of food selection	1
Very good for hanging out with friends	1
You can place your order from any of the shop and sit anywhere you want	1
Cheeper price food with good quality	1
People can find all kinds of foods here like chicken, beef, also all kinds of see food all the stall have testy food hope you are enjoying the food Very much	1
A bit unique place and decoration is totally different	1
Good place for lunch or dinner in a cheap price with lot of food items	1
neither good food nor proper service is served	0
there is a shortage of sitting space	0
DIfferent days different taste of the same food	0
there is not rush and no one bothers you	1
Food colour is very bad	0
Worst experience ever! In a single word don't waste time & money	0
food quantity is very little compared to price	0
Pic in menu and food served is miles apart	0
Dirty plates and shabby service	0
worst service  and vegetarian foods mixed with eggs	0
after ordering food, they take a long time for serveing	0
the person taking the order didn't have much knowledge of the dishes	0
Had to wait 10-15 minutes for extra forks, plates and accompaniments	0
Nice place and  late night open	1
Amazing food and awesome ambience	1
The waiters didn't even smile, they felt like robots or more like forced to not speak to customers	0
Perfect combination of Classy ambience, delicious food,great hospitality and breathing taking view	1
quite small, no washroom	0
Very affordable, clean, hygenic and above all tasty	1
Food is served very hot and it's delicious	1
Huge buffet spread for both vegetarians and non vegetarians	1
Excellent location, excellent chefs	1
the environment and music is ok	1
the stuffs are really ill-mannered	0
cool place and friendly environment	1
 Nice experience to find some new taste	1
I will never forgot this test	1
Feels good in every bite	1
The amount of sauce used in this recipe I think was at the optimum level	0
Good for any kind of get-together	1
it looks appetizing	1
Good wholesome food at a reasonable price	1
The place is a bit small and cramped	0
Serving time is quite quick	1
 Nice place to hang out if you want gossiping along with Good Food	1
One of the Best places to go with family	1
Excellent combination of spice and taste	1
Delicious yummy food	1
Good environment and interior	1
the food is horrible	0
DIfferent days different taste of the same food	0
Very disappointing from such a well decorated place	0
The staff are very well behave and gentle	1
it is a lilttle expensive	0
 prices are quite high	0
 service is slightly slow	0
if you want to spend some time on your own  this is a good place	1
there is not rush and no one bothers you	1
the food was nothing much delicious	0
The rice was kinda tasteless to me and the chicken pieces were very small	0
well designed and warm atmosphere	1
Satisfied with quality of food	1
Best place for foods and live evening music	1
the taste of the food is so good	1
their price is too low relating to the quantity	1
space is too small	0
enough quantity and taste is real food	1
good service  and good behavior	1
price is enough low	1
place is to busy & noisy	0
Very disappointed on their service	0
It is a decent place with decent interior	1
The menu is a bit confusing	0
good taste and nice ambience	1
The staffs now look much happier	1
the food and ambiance is ordinary	0
the food is baked perfectly	1
 the amount was more than enough for one person	1
have a nice interior and rooftop place	1
inner atmosphere is absolutely nice	1
it is great in amount	1
The price is reasonable compared to the quantity and taste	1
The service quality and the food taste has always been consistent	1
The food is prepared quite quickly	1
It is always tasty and a nice combination of local as well as international cuisine	1
the decor of the restaurant is immaculate	1
Good Ambience  great for dine in	1
 special arrangements made for larger parties	1
Perfect place to wind down with your friends after a tough week	1
Fully satisfied with environment and their behavior	1
Service and hospitality was very good	1
A must visit for pizza lovers	1
 A great themed restaurant complimenting the truely authentic fresh Italian food	1
The ambiance was calm and quiet	1
A true fine dining experience with very nice ambience and fine tuned waiters	1
Awesome environment and decoration	1
 A bit expensive	0
The food here is not so good	0
Love the environment  their food and consistent service	1
Good for candle light dinner	1
the service  was rather slow and lack of cordiality	0
Ambiance and food presentation did not impressive	0
The ambience is nice and a good place to go with friends on anyday	1
 fresh and tasty food  prompt service and nice place	1
never makes me dishearted	1
They always maintain the perfect taste of food	1
The food tastes delicious and the service impeccable	1
Their food quality is still excellent after so many years and the service is great too	1
overpriced and overrated by its patrons for some reason	0
Always served fresh gourmet quality food	1
Best place for friends to relax	1
they serves really fast	1
Its a nice place to eat with your loved ones	1
Totally shitty food with an unnecessary huge sum of money is being sold there	0
very overpriced meals	0
they need to keep the place clean	0
Non of the food items was appealing	0
They should bring up more dishes with variations and they must work on the menu, the quantity, the quality and the consistency	0
peaceful atmosphere	1
The food is good reasonable and enjoyed by all	1
I liked most was their versatile alignment of food items	1
Good environment too test chicken	1
Overly expensive compared to the quantity and the taste was bad as well	0
Plenty of choice and the food was prepared well	1
The staffs were friendly and very helpful	1
good sitting  parking and  Security	1
the food really good colourful and tasty	1
There service and food quality are much standard than the others	1
The place is nice for friendly gathering	1
They have good variety of starter	1
 this place is the best place for lunch or dinner	1
 there foods were very much delicious and view as well and service also excellent	1
definitely consistent food and great customer service	1
Instant service with great taste	1
should have more concern about hygiene and healthy	0
taste is not upto mark	0
huge quantity	1
not suitable for large groups	0
Recommended for dine in and takeaway	1
the interiors was nice  very well done and has unique seating arrangements	1
The cooking is  very unique and has a see through kitchen	1
Great presentation did is not cheap but worth the bucks spent	1
appetizers were large everything extremely high quality and delicious	1
The place has some amazing cooking processes like all the food is gasless	1
the menu is really small and should be improved in the dessert section	0
The ambience of this restaurant is very classic fancy and beautiful	1
The staff is welcoming and not only attentive towards but also maintained the contact with every table	1
The food is par excellence served well	1
their  menu have a wide variety of drinks	1
ideal for relaxing after hectic day of work	1
after the order was placed no staff was interested to come and talk with guest	0
 tasty food and exceptional service	1
A must place to visit for night party lovers	1
Not good for vegetarian	0
 The different courses of food was amazing	1
staff are very keen to explain the different items and grain origins 	1
Creative cuisine  hip atmosphere  healthy options  child friendly	1
Price is alright according to the quality and taste of the food	1
Worst  buffet ever there are less variety of food neither quality nor taste of food was so good	0
will not recommend this restaurant for buffet	0
 the amounts of the ingredients were very much disappointing	0
management is too bad	0
Waited more than 1 hour for the food to arrive after placing the order	0
The worst service ever	0
Can't maintain the quality of a buffet restaurant	0
their food is very good specially sweet & sour fish	1
It welcomes every customer individually with warm and cordial way offering mouth watering and tasty welcome drinks	1
Chefs know how to pamper their customer with fine dining and delicacies	1
Their ambiance and warm welcome was appreciable	1
liked their roof top place good for winter as well they have live bbq as well for us	1
Well dining place for family and couples	1
 the price is comparatively higher than the amount of food	0
Good architecture and good service always	1
Fantastic food and management	1
 Fantastic Food  Exact Flavors Perfect Portions that bring out a grin and a sigh of content	1
Disgraceful & utmost disappointing	0
Wonderful atmosphere  awesome food & elegant service make me feel precious	1
badly missing a place for breathing or walking space	0
Not only foods are rich but also excellent for outside of natural view	1
cooking quality poor	0
The staff were quite immanered and we needed to call them many times and after a long time they would answer	0
The sweets are just so awesome	1
The owner himself  explain what each dish was and he even showed us the spices and grains that the meals contained	1
every single dish was delicious	1
They take utmost care to make sure you get what you want	1
They put great deal of effort to make sure that nobody waste the food	1
It gave us a feeling of home made hot dinner	1
It is worth the money and you will not regret the time spent here	1
awesome place for dinner and drinks	1
Nice place to hang out on weekends lovely ambience and music was superb	1
So many different plates to sample	1
Prices are a touch high	0
The food is very well prepared and authentic	1
The staff was extremely courteous and took extra steps in making sure that customer feels privileged	1
The cocktail and food menu is also something which is exemplary	1
Ambiance was nice,superb drinks and food	1
Very good variety of drinks and food	1
A very enthusiastic bartender with an impressive collection of in-house fused gin	1
lovely concept of the Sunday Lazy Breakfast and the stories of retail keeps you engaged	1
Good English speaking staff so we were able to communicate without any troubles	1
The different varieties and options of foods was very nice	1
The breakfast here was absolutely amazing	1
Nice restaurant with an excellent concept, great décor and good service	1
great dessert bar and good fusion food	1
service from the heart  approachable	1
It’s dusguistingly filthy and poor space	0
The food was awful	0
Service should be upgraded more	0
Place is over crowded, extremely noisy	0
There are a lot of item but no one item is tasty to eat	0
 Food was good too specially the whole fish was amazing	1
Cosy atmosphere  Creative cuisine	1
The interior was really good and the hospitality was really warming	1
I'm really satisfied with their service	1
 Loved their salads & thai items	1
Gonna visit again to experience their hospitality	1
Amazing stuff so friendly and the service was so smooth	1
The seating arrangement was quite and sufficiently spacious	1
Worst suchi I ever tried	0
Lovely environment to spend quality times with our loved ones	1
staffs are confused all the time	0
Great food with exquisite taste	1
a little bit crowded	0
Good food and congenial environment for enjoining the food prevails in the restuarent	1
All the hygenic conditions are noteworthy	1
Nice and familiar ambiance	1
Disappointed  by  the chicken and the  rice was cooked a long time ago it was not fresh at all	0
such a lame food they served and waste of money	0
the food is delicious	1
It's right near some of the top tourist attractions so it's a great way to start off your morning	1
Walk there if you can, it's on such a pleasant, tree-lined street	1
The cafe is really small. But it's perfect size for a cafe	1
 I was seated at the bar which I always enjoy	1
 Menu wasn't huge which is great	1
The waitress/bartender was super helpful, she provided some suggestions of their popular dishes	1
I absolutely loved everything I ordered	1
The service and food was fantastic for me,I definitely will come back	1
The hush puppies were good, just not as amazing as every says	1
Location and service were great	1
the food was good enough to go back	1
 It looked pretty busy from the outside, and busy it was	0
The dining area was pretty packed, and all the empty tables were all reserved already	0
The service here was very friendly, welcoming and polite	1
 We received really nice service	1
The food tasted amazing, the quality was high, with fresh ingredients and everything made with love and care	1
Food not quite as good as I expected	0
Lots to like about this place	1
 Great location with some nice views in the Pike Place area	1
it can be stressful because this restaurant is in high demand	0
The Pink Door is one of my favorite restaurants in Seattle	1
I just love the entire vibe of the place and how they have shows with dinner in such an intimate setting	1
This place is different because it just seems like a secret	1
The fries were really good though, like really really good	1
It wasn't what I thought I had signed up for	0
 Everything was fresh and delicious	1
The decor is quirky, but I love that	1
 It was very crowded when we went and the wait was rather long for walk ins, although some chose to actually wait	0
It was definitely a cool, unique experience, mainly due to the aerialist	1
Everyone must come here	1
 their menu is always a dependably pleasant surprise	1
I've never been disappointed yet	1
This place is highly overrated	0
 I do not get the hype	0
 The pasta did not taste fresh at all	0
  Everything else lacked flavor	0 
I loved this place	1
The wait was approximately 2 hours	0
This is hard to get into in the evening	0
Food is very good, service is excellent, drinks are inventive	1 
this place has a popular reputation and pretty tasty biscuits	1
it can be slightly confusing as to how one is supposed to wait after ordering given that the place is always packed with a line out the door and blasting very loud music	0
AMAZING place. Amazing service. Amazing food. Amazing coffee	1
our experience was marred by the employee manning the cash register who angrily yelled at us to move outside to wait for our food	0
The cooks were great help in choosing the perfect 1st dish to try	1
everyone was great and food was to good	1
This is a 100% worthit spot	1
Nothing but love for this place	1
I liked the different atmosphere with the loud music	1
This place is everything you would expect it to be	1
Honestly I found this place a little overrated	0
The vibe of the shop is awesome and funny	1
This is my favorite spot for breakfast	1
I love how generous the portions are and the inside vibe is fun and accepting	1
Always a joy	1
I will be coming here every time	1 
I recommend everyone else	1
The vibe was fun but my experience was unfortunately nothing more than that	0
 Getting a table proved to be a bit difficult at peak breakfast times	0
It's everything fattening and delicious it one meal	1
Tiny tiny place basically only a couple tables and enough room for the line coming in to order	0
There isn't a lot of sitting space here	0
This could probably be simple and sweet	1
All in all it was different and fun	1
Great clam chowder	1
The place is rather small and even though they have more tables outside in the alley	0
 be prepared to wait a little for a table and to knock elbows with strangers	0
Worth checking out once	0
Loved the Black Seasame	1
Service was quick and friendly	1
This place is awesome Delicious food, treats and drinks that are actually healthy	1
 So glad they opened - QA needs more options	1
I love this place so much. It was delicious and its so cute	1
 The griled cheese was amazing and their teas were so good	1
This place is a hidden treasure	1
The rice bowl dishes were delicious	1
 Had just the right combination of ingredients with some modern diversions and condiments	1
Not crowded and crazy like other breakfast/brunch places	1
prices here are fantastic	1
flavors are creative	1
the black sesame fudge in particular was quite stellar	0
great spiritual successor to the Cederberg Tea House	1
They have tea rooibos lattes and great coffee espresso drinks	1
The latte I had was delicious	1
You cannot go wrong with what you pick	1
They are only open for dinner and into the late evening	0
Check it out of you are in the area--the staff is also super friendly	1
The area seemed a bit popular so I'm not sure how easy parking would be here	0
The ambiance was modern and I liked the interior design	1
 Great place for a date or get together	1
 You cannot go wrong with what you pick	1
They are only open for dinner	0
 the food and drinks on the menu all looked super yummy	1
The service was tops and the beverages were wonderful	1
 This is my new favorite QA restaurant	1
 I will have to make a reservation before the next performance I go to in the area	1
 The ambiance was modern and I liked the interior design	1
There are places with great service	1
 It's simply solid. Quick, friendly, knowledgeable	1
I had a good time here	1
 Nothing special	0
I will straight up say it they have music that's too loud	0
We will definitely return to try more of the menu	1
Great place to eat, great service and friendly people	1
if you're looking for a trendy spot that has European chic vibes and great food is your place	1
 Even the plates that they use are sourced from a local artist	1
The staff is also super friendly and attentive - we asked for more marmalade and would continuously check in with us	1
Yes it's pricey	0
Service was quick and friendly	1
 Music was just a little too loud if you're hoping for conversation	0
You will love this place and will return many times	1
Very mediocre food	0
 Service was slow	0
 Paella was definitely not cooked in the pan presented	0
Food was crafty and delicious	1
 A little bit slow with service because they are understaffed	0
 Overall beautiful venue and excellent quality	1
Really wanted to love this new neighborhood spot but unfortunately it was lacking	0
 The wine I ordered had gone bad	0
 The food was pretty good but nothing was made in house from what we could tell	0
tasted good but not a good value for the price they are charging	0
Our cocktails were very good and our waiter was quick to replenish our glasses	1
It is somewhat expensive	0
The service was quite good but they do auto-charge you 20% service fee regardless of the size of your party	0
 if you are looking for any authentic Chinese food this is not the place for you	0
 If you are in the mood for some exotic/innovative Asian fusion then give it a try	1
That place is spicy spicy has strong and bold flavors and serves HOT FOOD	1
This place serves americanized asian food so costs are definitely pricier than your average asian spots	0
I will say their food is pretty good but for me not so good	0
Their dishes are served family style so it's a really good way to try a whole bunch of things on the menu	1
Many of their dishes have some sort of traditional components but I say fused with more American flavors	0
Overall this is a restaurant with good food	1
They have a nice drink menu	1
My overall opinion was good	1
 The food was flavorful and fast delivery and their prices seem fair	1
Slow service and the food had a really terrible aftertaste	0
 I literally had to spit it out my tongue had a terrible sensation for the rest of the night	0
Our food arrived quite expediently and it was lip-smackingly delicious	1
This spot is very reasonably priced for the quality and quantity of food you receive	1
Eating here was really enjoyable	1
 It's a beautiful space  Well done	1
The food is creative and well-seasoned	1
Its spiced spicy without being over the top and each item is able to be tailored to your preference	1
Its a great place to order several things	1
Insanely good creative Sichuan-inspired dishes	1
Will definitely be back and send everyone we know here	1
 it is a nice addition to the food scene in the area	1
 Super glad to have a place like this on Cap Hill	1
 The restaurant description says that it's fusion but the food is just bad versions of the original	0
They are excellent	1
5 Golden star review of this white-operated asian restaurant	1
I would recommend this place to my friends and looking forward to come back to try the rest of the items on the menu	1
Wish the food was as good as the service	0
 it was an amazing last meal Super fresh	1
I really like the sushi here	1
Although potentially overhyped, this place was good	1
Five star rating all the way	1
 That hype is truly real	1
All of the dishes were perfect in taste	1
We definitely will on our next Seattle adventure	1
Best fusiony Japanese meal we've had in a LONG time	1
I enjoyed it so much	1
 I'm trying to think of an excuse to come back to Seattle and just have another meal here	1
The seafood was really good	1
The wrappers had a great texture thin but with enough chew and the filling was delicious	1
There are definitely better rolls on their menu	1
 good service best sushi quality for the price cannot praise it enough	1
Fell in love with this place	1
Drinks were good Made well	1
this is a great spot for Happy Hour	1
Check it out and enjoy	1
Their signature Old Fashioned is well made and very strong	1
it's a fun place but honestly it is SO loud in here	0
It's really like an art and the service was great	1
Nice place to people watch too if you ask for a table by the window	1
Restaurant wasn't huge and tables are a little tight in areas	1
Great selection of spirits	1
 I like how they barrel age a lot of it	1
Radiator barrel select was a pretty good choice	1
Great Old Fashioned  Great vibe	1
The best bakery I've been to	1
 From their quiches to their cakes, everything was so good	1
 Their croissant - namely the Kouign Amann - is so delicious	1
  They have an amazing americano as well	1
Just go there	1
 You will never regret this visit	1
They make nutella croissants that melts your heart not only your tongue	1
Excellent quality good service and fantastic selection	1
 Each time we come here we try something new and are never disappointed	1
 You can see that they are very skilled and each item on their bakery shelf pastry shelf is sheer perfection	1
Every week they add something new	1
 I love how they are constantly innovating and adding creative items to their menus	1
 I would rate this the best bakery in seattle- hands down	1
the service and amazing welcome you get from the folks behind the counter	1
Really enjoy getting work done here as their work space is nice	1
Amazingly delicious pastries and they make you feel so welcome being there	1
 I am so glad there's this little gem	1
Super nice folks	1
This is my favorite neighborhood coffee shop	1
 They are really sweet	1
beautiful, inviting, warm coffee shop and bakery	1
We enjoyed all 7 courses of the tasting menu and loved the views	1
Birch was a huge disappointment from start to finish	0
The space is beautiful, but spoiled by the largest TV I've ever seen	0
The bread is served cold	0
I cannot recommend Birch at all based on our experience	0
The experience was fantastic from start to finish	1
 Exceptional food, a well drilled staff and a beautiful location combine for a memorable dining experience	1
Great dining experience here	1
The flavors were tasty without being overbearing	1
 Lots of different tastes and textures mixed into each dish	1
 The time to bring out dishes was extremely long and were left waiting quite a bit in between servings	0
Would definitely recommend the chefs tasting menu with the wine pairings	1
 Our sommelier was awesome and our waitress Asia was great	1
There's much better places to spend your money	1
The food is really good and I think it will become great with absolutely outstanding service	1
The first thing about this place is that it's hard to find	0
It's got a beautiful interior	1
 the outdoors is very much not a fine dining restaurant	0
 The service though still needs work	0
as good as Chef cooked his dishes lacked a complexity of flavor and proper seasoning	1
Service is not quick unfortunately particularly given that we were among few diners at the new restaurant	0
As good as the view is, the ambience does not take overall advantage of it	1
The lighting is a bit bright and the decor is cold	0
This place is brand new and already impressing with its great food and amazing views of Lake Union	1
This is truly an extraordinary restaurant	1
Great food  tasting menus  good for groups  friendly staff	1
The tables are nicely spread out from one  another to provide  privacy and comfort  to the  patrons	1
One of the worst services I’ve ever encountered	0
Their food and ambiance is extra ordinary then others	1
Great spot for a special occasion with your significant other	1
The food doesn’t compensate for the terrible service	0
Felt like we were sitting in a luxury place with screening of music and yummy and tasty food	1
Take a dive into this amazing place and enjoy your scrumptious meal with amazing cocktails 	1
They serve a great variety of Liquor and Buffet lunch	1
 It’s a perfect choice for a funfilled party especially on the weekends	1
Food is somewhat cheap	0
 Starters were messy	0
They should work on the garnishes and glasses of the cocktails	0
 Service is polite and prompt	1
This is one of the best to party	1
Staff was knowledgeable, polite and accommodating	1
This is a nice restaurant serving breakfast and snacks	1
You can delicious food in cheap rate	1
the taste is intact	1
This place is now decades old and still maintains the same old taste with lot of hygiene	1
No card machine Only cash payment	0
 the staff are excellent in service	1
 The food was as per our taste and ambience is also clean and nice	1
Its very famous for baked desserts	1
Its very cozy place for light snacks	1
the decor and vibe is peaceful and serene	1
Hygenic place with quick service and polite and humble staff	1
This is place where you get the best coffee with a great service	1
One of the awesome place to hangout with friends and family	1
Great to see that such a high class hotel doesn't levy service tax	1
The food was super and perfectly balanced	1
It was a decent spread, with good starters	1
it was fresh and Spicy and very delicious	1
abundance of food prepared exquisitely, served professionally and seated in comfort	1
offers culinary sophistication yet has an ethnic feel to it	1
all the dishes were mouthwatering and the service impeccable	1
We never such services from a fine dining restaurant  with such exorbitant rates	0
